serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
465,MAT 2014-2015,মেরুদন্ডের এটলাস ও এক্সিসের মধ্যবর্তী অস্থিসন্ধি কোনটি?,গমফোসিস,কব্জা,কীলক,স্যাডেল,C,অ্যাটলাস ও অ্যাক্সিসের মধ্যবর্তী অস্থিসন্ধি কীলক ধরনের।
466,MAT 2014-2015,মোটর প্রকৃতির স্নায়ু কোনটি?,হাইপোগ্লোসাল,ফেসিয়াল,ভেগাস,অপথ্যালমিক,A,"মোটর বা চেষ্টীয় স্নায়ু → ৩, ৪, ৬, ১১, ১২।
অন্যান্য অপশন সম্পর্কিত তথ্য:
Mixed বা মিশ্র স্নায়ু → বাকি সব স্নায়ু।
Sensory বা সংবেদী স্নায়ু → ১, ২, ৮।"
467,AFMC 2020-2021,সন্তান প্রসবে কোন হরমোন সাহায্য করে?,অক্সিটোসিন,অক্সিন,টেস্টোস্টেরন,গোনাডোট্রপিন,A,শিশু প্রসব: ৪০তম সপ্তাহে অক্সিটসিন ও প্রোস্টাগ্লান্ডিন হরমোন দুটির সক্রিয়তায় জরায়ুর সংকোচন ঘটে। ফলে শিশু জরায়ু থেকে বাইরে আসতে পারে। এটি ৩টি ধাপে সম্পন্ন হয়।
468,AFMC 2020-2021,মায়ের দুধে কি ধরনের প্রতিরক্ষা থাকে?,প্রাকৃতিক সক্রিয়,প্রাকৃতিক অক্রিয়,কৃত্রিম সক্রিয়,কৃত্রিম অক্রিয়,B,"প্রাকৃতিক অক্রিয় প্রতিরক্ষা: এ ধরনের প্রতিরক্ষায় অমরা বা কলোস্ট্রাম (শাল দুধ)-এর মাধ্যমে অ্যান্টিবডি মায়ের শরীর থেকে শিশুদেহে প্রবেশ করে।
 এভাবে স্থানান্তরিত অ্যান্টিবডি কয়েক সপ্তাহমাত্র টিকে থাকে। এ সময়ের মধ্যে শিশুদেহে নিজের অ্যান্টিবডি উৎপন্নের জন্য নিজস্ব প্রতিরক্ষাতন্ত্র গড়ে উঠে।"
469,AFMC 2020-2021,অ্যান্টিবডি ক্ষরণ করে কোন কোষ?,T-cell,cell,প্লাজমা কোষ,ম্যাক্রোফেজ কোষ,C,"অ্যান্টিবডি বহিরাগত ক্ষতিকর বস্তুর (অ্যান্টিজেন) উপস্থিতি ও মিথষ্ক্রিয়ার মাধ্যমে সৃষ্ট প্রতিরোধী বস্তু।অ্যান্টিবডির প্রস্তুতি:
রক্ত শ্বেত কণিকা → লিম্ফোসাইট → B-লিম্ফোসাইট → প্লাজমা কোষ → অ্যান্টিবডি।"
470,AFMC 2020-2021,সর্বপ্রথম ভ্যাক্সিন কত সালে আবিষ্কৃত হয়?,1796,1856,1789,1956,A,"ড. এডওয়ার্ড জেনার ১৭৯৬ খ্রিস্টাব্দে সর্বপ্রথম গুটিবসন্তের ভ্যাক্সিন আবিষ্কারের মধ্যদিয়ে যুগান্তকারী 'ভ্যাক্সিন বিপ্লব' ঘটিয়ে মানুষের রোগমুক্ত দীর্ঘ সুন্দর জীবনের যে প্রত্যাশা জাগিয়েছেন, তার ধারাবাহিকতায় আজ দ্বিতীয় জেনারেশন ভ্যাক্সিন হিসেবে হেপাটাইটিস-বি ভ্যাক্সিন উৎপন্ন হয়েছে।"
471,AFMC 2020-2021,কোনটি সেক্স লিংকড ডিসঅর্ডার নয়?,ডায়াবেটিক ম্যালিটাস,হিমোফিলিয়া,বর্ণান্ধতা,সবগুলো,A,"মানুষের যেসব জিন নিয়ন্ত্রিত বংশগত রোগ সেক্স ক্রোমোজোমের (X ও Y) মাধ্যমে বংশ পরম্পরায় সঞ্চারিত হয়, তাদের সেক্স-লিঙ্কড ডিসঅর্ডার বা অস্বাভাবিকতা বলে।
ডায়াবেটিক ম্যালিটাস বংশগত নয়, তবে ডায়াবেটিক ইনসিপিডাস বংশগত।"
472,AFMC 2020-2021,কোয়াগুলেশন ফ্যাক্টর কোনটির অভাবে হিমোফিলিয়া হয়?,VI ফ্যাক্টর,V ফ্যাক্টর,VIII ফ্যাক্টর,VII ফ্যাক্টর,C,হিমোফিলিয়া হচ্ছে বংশগতভাবে সঞ্চারণশীল এক প্রকার রক্ততঞ্চন ঘটিত ত্রুটি বা অস্বাভাবিকতা। X-ক্রোমোসোমের একটি প্রচ্ছন্ন জিনের কারণে হিমোফিলিয়া হয়ে থাকে।
473,AFMC 2020-2021,সপ্তম করোটিক স্নায়ু কোনটি?,অলফ্যাকটোরি,অপটিক,ফেসিয়াল,অডিটরী,C,"৭ম করোটিক স্নায়ুর নাম- ফেসিয়াল স্নায়ু। যার ২টি শাখা থাকে ১টি প্যালেটাইন অপরটি হায়োম্যান্ডিবুলারি। এ স্নায়ুর কাজ স্বাদ গ্রহণ, চর্বণ ও গ্রীবা সঞ্চলন।"
474,AFMC 2020-2021,মানুষের রেসপিরেটরি সেন্টার কোনটিতে থাকে?,সেরিবেলাম,মেডুলা অবলাংগাটা,মস্তিষ্ক,পনস,B,"পশ্চাৎ মস্তিষ্কের মেডুলায় শ্বাস কেন্দ্র অবস্থান করে। যা শ্বাসের গতি নিয়ন্ত্রণ করে। এছাড়া এটি ৫ম থেকে দ্বাদশ জোড়া করোটিক স্নায়ুর উৎসস্থল হিসেবে কাজ করে।
সেরিবেলাম: চলাফেরার সাথে জড়িত সকল কার্যাদি সম্পন্ন করে।
মস্তিষ্ক: কেন্দ্রীয় স্নায়ুতন্ত্রের যে স্ফীত ও জটিল অংশ মানুষের করোটিকার মধ্যে সুরক্ষিত থাকে এবং দেহের সকল কার্যাবলি নিয়ন্ত্রণ করে তাকে মস্তিষ্ক বা এনসেফানল বলে।
পনস: স্বাভাবিক শ্বাসক্রিয়ার হার নিয়ন্ত্রণ করে।"
475,AFMC 2020-2021,গলগন্ড রোগ হয় কোনটির অভাবে?,Zink,Iron,Iodin,Calcium,C,দেহে অতিরিক্ত থাইরক্সিন ক্ষরিত হলে গলগন্ড রোগ হয়। Iodin এর অভাব ঘটলে এই রোগটি হয়। Iron এর অভাব হলে অ্যানিমিয়া হয়। Calcium এর অভাব হলে অস্টিওপোরেসিস হয়।
476,AFMC 2020-2021,ট্রপিক হরমোন কোনটি?,MSH,CSH,TSH,KSH,C,"যে হরমোন অন্য অন্তঃক্ষরা গ্রন্থিকে তার হরমোন ক্ষরণে উদ্বুদ্ধ করে তাকে ট্রপিক হরমোন বলে। ৬টি ট্রপিক হরমোন সম্মুখ পিটটুইটারি গ্রন্থি থেকে নিঃসৃত হয়। যথা: STH বা HGH, TSH, LH, FSH, PRL বা LTH, ACTH।"
477,AFMC 2020-2021,এপিডিডাইমিস এর দৈর্ঘ্য কত?,20ft,15ft,10ft,5ft,A,"এপিডিডাইমিস প্রত্যেক শুক্রাশয়ের ভাসা ইফারেন্সিয়া একত্রে মিলিত হয়ে একটি করে ৪-৬ মিটার লম্বা অত্যন্ত প্যাঁচানো এপিডিডাইমিস গঠন করে। এর শেষ অংশটি সোজা হয়ে ভাস ডিফারেন্সে মিলিত হয়। এপিডিডাইমিস শুক্রাণুর ভিতর থেকে তরল ও কঠিন অসার পদার্থ আলাদা করে শুক্রাণুর নিষেক ক্ষমতা বাড়ায় এবং পুষ্টি পদার্থ ক্ষরণ করে এগুলোকে সতেজ রাখে।
১ মিটার = ৩.২ ফিট, অতএব ৪-৬ মিটার = ১২.৮-১৯.২ মিটার। তাই সঠিক উত্তর হবে ২০ ফিট।"
478,AFMC 2020-2021,জাতীয় পাখির বৈজ্ঞানিক নাম কী?,Labeo Rohita,Allium cepa,Copsychus saularis,Oryza sativa,C,জাতীয় পাখি: দোয়েল (Copsychus saularis)
479,AFMC 2020-2021,হাইড্রা কোন পর্বের প্রাণী?,নিডারিয়া,একাইনোডার্মাটা,কর্ডাটা,মলাস্কা,A,হাইড্রা ক্ষুদ্রাকৃতি স্বাদুপানির প্রাণির গণ যা নিডারিয়া পর্বের হাইড্রোজোয়া শ্রেণির অন্তর্গত। এদের পাওয়া যায় নাতিশীতোষ্ণ ও গ্রীষ্মমন্ডলীয় অঞ্চলে। জীববিজ্ঞানীরা হাইড্রার প্রতি বিশেষ আগ্রহী এর পুনরুৎপত্তি ক্ষমতার জন্য।
480,AFMC 2020-2021,ঘাসফড়িং এর পুঞ্জাক্ষিতে কতটি ওমাটিডিয়াম রয়েছে?,1200-1800,500-600,1000,900,A,"ঘাসফড়িংয়ের মাথার পৃষ্ঠভাগের উভয় পাশে অবস্থিত বড়, বৃন্তহীন, উত্তল, কালো অংশকে পুঞ্জাক্ষি বলে। প্রত্যেক পুঞ্জাক্ষি প্রায় দুই হাজার (প্রজাতিভেদে সংখ্যা বিভিন্ন) ষড়ভূজাকার ওমাটিডিয়া নিয়ে গঠিত। প্রতিটি ওমাটিডিয়াম (একবচনে) একেকটি দর্শন একক হিসেবে কাজ করে।"
481,AFMC 2020-2021,নিষ্ক্রিয় ট্রিপসিনোজেন কে সক্রিয় ট্রিপসিনে পরিণত করে কে?,পিত্তরস,অগ্ন্যাশয় রস,HCl,কার্বোহাইড্রেট,C,আমিষ পরিপাকে গ্যাস্ট্রিক জুসে পেপসিনোজেন ও প্রোরেনিন নামক নিষ্ক্রিয় প্রোটিওলাইটিক এনজাইম থাকে। এ দুটি গ্যাস্ট্রিক জুসের HCl-এর সাথে বিক্রিয়া করে যথাক্রমে পেপসিন ও রেনিন নামক সক্রিয় এনজাইমে পরিণত হয়।
482,AFMC 2020-2021,"চিকিৎসাবিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Obesity,Geriatrics,Bariatrics,Pediatrics,C,"চিকিৎসাবিদ্যার যে শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয় তাকে Bariatrics বলা হয়।
অন্যান্য অপশন সম্পর্কিত তথ্য:
Obesity: স্থূলতা।
Geriatrics: বয়স্ক মানুষের চিকিৎসাবিদ্যা।
Pediatrics: শিশুদেহের চিকিৎসাবিষয়ক শাখা।"
483,AFMC 2020-2021,কোন প্রাণীর লোহিত কণিকায় নিউক্লিয়াস থাকে?,নীল তিমি,বাদুর,উট,মানুষ,C,স্তন্যপায়ীদের মধ্যে শুধুমাত্র উটের RBC নিউক্লিয়াস থাকে। এছাড়া অন্যান্য সকল স্তন্যপায়ীর RBC নিউক্লিয়াসবিহীন।
484,AFMC 2020-2021,বাম অলিন্দ ও বাম নিলয়ের ছিদ্রপথে কোন কপাটিকা থাকে?,মাইট্রাল কপাটিকা,বাইকাসপিড কপাটিকা,ট্রাইকাসপিড কপাটিকা,কোনোটিই নয়,B,"বাম অলিন্দ ও বাম নিলয়ের মাঝে বাইকাসপিড কপাটিকা থাকে। যা বাম নিলয়ের সংকোচনকালে, বাম অ্যাট্রিয়ামে রক্তের পশ্চাৎ প্রবাহ প্রতিরোধ করে।"
485,AFMC 2020-2021,মানবদেহের স্বাভাবিক ডায়াস্টলিক চাপ কত?,60-90,70,50,10,A,"স্বাভাবিক ডায়াস্টোলিক চাপ 60-89 mmHg (অপটিমাম 80 mmHg)।
অন্যান্য অপশন সম্পর্কিত তথ্য:
ডায়াস্টোলিক চাপ হলো যখন ভেন্ট্রিকল প্রসারিত হয় এবং রক্তচাপ সর্বনিম্ন পর্যায়ে নেমে আসে।
সিস্টোলিক চাপ: ভেন্ট্রিকল সংকোচনের সময় রক্তচাপ বেশি থাকে, সাধারণত 100-139 mmHg (অপটিমাম 120 mmHg)।"
486,AFMC 2020-2021,শ্বসনতন্ত্রের উৎপত্তি কোথা থেকে হয়?,Endoderm,Ectoderm,Mesoderm,Teloderm,A,"শ্বসনতন্ত্র (স্বরযন্ত্র/ল্যারিংক্স, ট্রাকিয়া, ফুসফুস) এন্ডোডার্ম থেকে উৎপন্ন হয়।"
487,AFMC 2020-2021,কোনটি Larynx এর Cartilage নয়?,Thyroid,Cocloyed,Cricoid,Epiglottis,B,"Cocloyed হলো Larynx এর cartilage নয়, এর মধ্যে এপিগ্লটিস, ক্রাইকয়েড ও থাইরয়েড হল অংশ।"
488,AFMC 2020-2021,কোষের অন্তঃশ্বসন কোথায় হয়?,কোষের বাইরে,কোষ প্রাচীরে,কোষের মধ্যে,কোষের চারপাশে,C,অন্তঃশ্বসন হলো জৈব রাসায়নিক প্রক্রিয়া যা দেহকোষ ও রক্তে সংঘটিত হয়। এখানে অক্সিজেন রক্ত দ্বারা বাহিত হয়ে দেহকোষে পৌঁছায় এবং শক্তি উৎপন্ন হয়।
489,AFMC 2020-2021,করোটিকার অস্থি কয়টি?,12,4,8,20,C,"করোটিকার অস্থি ৮টি হয়: ফ্রন্টাল, প্যারাইটাল, টেমপোরাল, অক্সিপিটাল, স্ফেনয়েড, এবং এথময়েড।"
490,MAT 2002-2003,শোষিত খাদ্যবস্তুর প্রোটোপ্লাজমে রূপান্তরকে বলে-,পরিপাক,শোষণ,আত্তীকরণ,অধিশোষণ,C,"আত্তীকরণ হলো শোষিত খাদ্যবস্তুর প্রোটোপ্লাজমে রূপান্তরের প্রক্রিয়া।
অন্যান্য অপশন:
পরিপাক — খাদ্যবস্তু গলাধঃকরন ও এনজাইমের সহায়তায় ভাঙ্গন।
শোষণ — খাদ্য পরিপাকের পর রক্তনালীর মাধ্যমে সারা দেহে ছড়িয়ে যাওয়ার প্রক্রিয়া।
অধিশোষণ — কোনো পদার্থের অন্য একটি পদার্থের পৃষ্ঠতলে সঞ্চিত বা কেন্দ্রীভূত হওয়া, অভ্যন্তরে প্রবেশ না করা।"
491,[DAT: 90-91,স্নেহজাতীয় পদার্থকে ফ্যাটি অ্যাসিড ও গ্লিসারলে পরিণত করে কোন এনজাইম?,টায়ালিন,লাইপেজ,পেপসিন,রেনিন,B,"লাইপোলাইটিক/স্নেহ/Lipid পরিপাককারী এনজাইম হলো লাইপেজ। এটি স্নেহজাতীয় পদার্থকে ফ্যাটি অ্যাসিড ও গ্লিসারলে পরিণত করে।
অন্যান্য অপশন:
টায়ালিন — কার্বোহাইড্রেট পরিপাককারী এনজাইম।
পেপসিন ও রেনিন — প্রোটিন পরিপাককারী এনজাইম।"
492,MAT 2012-2013,রক্তের pH নির্ভর করে যার উপর-,এন্টিজেন,বাফার,রক্তের গ্রুপ,এন্টিবডি,B,"রক্তের স্বাভাবিক pH ৭.৪। এর থেকে ০.৫ কম বা বেশি হলে জীবনহানী হতে পারে। এই সীমিত সীমার মধ্যে রক্তের pH নিয়ন্ত্রিত হয় বিভিন্ন বাফার দ্বারা, যেমন- বাইকার্বোনেট বাফার, ফসফেট বাফার, হিমোগ্লোবিন বাফার ইত্যাদি।"
493,MAT 2011-2012,নিম্নের কোন অঙ্গে লোহিত কণিকা ধ্বংস হয়?,প্লীহা,যকৃত,পাকস্থলী,বৃক্ক,"A,B","লোহিত কণিকার উৎপত্তি জন্মের একমাস পূর্বে যকৃত ও প্লীহায় হয়। জন্মের পর লোহিত অস্থিমজ্জা, হিউমেরাস ও ফিমারের মস্তক, কশেরুকা, পশুর্কা, করোটির চ্যাপ্টা অস্থিতে উৎপন্ন হয়।
লোহিত কণিকা ধ্বংস হয় মূলত যকৃত ও প্লীহায়।"
494,MAT 2009-2010,নিম্নের কোনটি শরীরের অণুপ্রবেশিত জীবাণু ধ্বংস করার প্রক্রিয়া?,অটোলাইসিস,অটোফ্যাগি,পিনোসাইটোসিস,ফ্যাগোসাইটোসিস,D,শ্বেত রক্তকণিকা ফ্যাগোসাইটোসিস পদ্ধতিতে রোগজীবাণু ভক্ষণ করে রোগ আক্রমণ প্রতিহত করে।
495,MAT 2008-2009,নিম্নের কোনটি রক্ত জমাট বাঁধার মূল উপাদান নয়?,ফিব্রিনোজেন,প্রোথ্রোম্বিন,অ্যালবুমিন,Ca,C,"রক্ত জমাট বাঁধা বা রক্ততঞ্চন প্রক্রিয়ায় অণুচক্রিকা ও রক্তরসে অবস্থিত ১৩ ধরনের ক্লটিং ফ্যাক্টর গুরুত্বপূর্ণ ভূমিকা পালন করে। এর মধ্যে অতি গুরুত্বপূর্ণ ৪টি ফ্যাক্টর হলো- ফিব্রিনোজেন, প্রোথ্রোম্বিন, থ্রম্বোপ্লাস্টিন ও ক্যালসিয়াম আয়ন।"
497,MAT 1997-1998,নিউক্লিয়াস বিশিষ্ট লোহিত কণিকা কোন প্রাণীতে থাকে?,আরশোলায়,গিনিপিগে,ব্যাঙে,মানুষে,C,"উট, পাখি, ব্যাঙ এর লোহিত রক্তকণিকায় নিউক্লিয়াস থাকে। উট একমাত্র স্তন্যপায়ী প্রাণী যা লোহিত রক্তকণিকায় নিউক্লিয়াস আছে। বাকি সব স্তন্যপায়ীর RBC তে নিউক্লিয়াস নেই।"
498,MAT 1993-1994,কণিকাবিহীন রক্তের জলীয় অংশকে বলে-,লসিকা,প্লাজমা,গ্লোবিন,সিরাম,B,কণিকাবিহীন রক্তের জলীয় অংশকে প্লাজমা বা রক্তরস বলা হয়।
499,MAT 1988-1989,মানবদেহে রোগ প্রতিরোধক হিসাবে কাজ করে কোনটি?,হিমোগ্লোবিন,শ্বেতকণিকা,লোহিত কণিকা,অনুচক্রিকা,B,শ্বেত রক্তকণিকাকে আণুবীক্ষনিক সৈনিকও বলা হয়।
500,DAT 2009-2010,নিম্নের কোন কোষটি হেপারিন নিঃসরণ করে?,নিউট্রোফিল,বেসোফিল,ইউসিনোফিল,লিম্ফোসাইট,B,"বেসোফিল হেপারিন ও হিস্টামিন নিঃসৃত করে, রক্ত জমাট বাঁধতে বাধা দেয়।"
501,DAT 2007-2008,নিম্নের উল্লেখিত কয়টি ফ্যাক্টর রক্ত জমাট বাধার প্রক্রিয়ায় অংশগ্রহণ করে?,10,11,12,13,D,"রক্ত জমাট বাঁধা বা রক্ততঞ্চন প্রক্রিয়ায় অণুচক্রিকা ও রক্তরসে অবস্থিত ১৩ ধরনের ক্লটিং ফ্যাক্টর গুরুত্বপূর্ণ ভূমিকা পালন করে। এর মধ্যে অতি গুরুত্বপূর্ণ ৪টি ফ্যাক্টর হলো- ফিব্রিনোজেন, প্রোথ্রোম্বিন, থ্রম্বোপ্লাস্টিন ও ক্যালসিয়াম আয়ন।"
502,DAT 1989-1990,লোহিত রক্তকণিকার উৎপত্তিস্থল নয়-,অস্থি মজ্জা,হৃদপিণ্ড,যকৃত,প্লীহা,B,"লোহিত রক্তকণিকার উৎপত্তিস্থল:
ভ্রূণীয় অবস্থায়: যকৃত, প্লীহা, থাইমাস
২০ বছর বয়স পর্যন্ত: অস্থির অস্থিমজ্জার হিমোসাইটোব্লাস্ট নামক কোষ
জীবনের বাকি সময়: হিউমেরাস, ফিমার, স্টার্নাম, কশেরুকা, পশুকা ইত্যাদি।"
503,DAT 1990-1991,লাল অস্থিমজ্জায় তৈরি হয়-,লোহিত রক্তকণিকা,শ্বেত রক্তকণিকা,অণুচক্রিকা,সবকটি,D,"লাল অস্থিমজ্জায় লোহিত রক্তকণিকা, শ্বেত রক্তকণিকা এবং অণুচক্রিকা তৈরি হয়।"
504,MAT 2013-2014,হৃদপিন্ডের ডান অলিন্দ ও ডান নিলয়ের সংযোগ স্থলের কপাটিকার নাম-,মাইট্রাল কপাটিক,ট্রাইকাসপিড কপাটিকা,পালামোনারী কপাটিকা,অ্যাওর্টিক কপাটিকা,B,"মানুষের হৃৎপিণ্ডের বিভিন্ন কপাটিকার অবস্থান:
ট্রাইকাসপিড কপাটিকা: ডান অলিন্দ ও ডান নিলয়ের সংযোগস্থলে
বাইকাসপিড বা মাইট্রাল কপাটিকা: বাম অলিন্দ ও বাম নিলয়ের সংযোগস্থলে
সেমিলুনার ভাল্ব: পালামোনারি কপাটিকা: ডান নিলয় ও পালমোনারি ধমনির সংযোগস্থলে
সেমিলুনার ভাল্ব: অ্যাওর্টিক কপাটিকা: বাম নিলয় ও অ্যাওর্টার সংযোগস্থলে
থিবেসিয়ান কপাটিকা: করোনারি সাইনাস ও ডান অলিন্দের সংযোগস্থলে
ইউস্টেশিয়ান কপাটিকা: ইনফেরিয়র ভেনাক্যাভা ও ডান অলিন্দের সংযোগস্থলে"
505,MAT 2013-2014,মাইট্রাল কপাটিকা নিম্নে উল্লেখিত কোথায় অবস্থিত?,এওর্টার ছিদ্রমুখে,বাম অলিন্দ-নিলয় ছিদ্রমুখে,ডান অলিন্দ-নিলয় ছিদ্রমুখে,ডান ও বাম নিলয়ের গোড়ায়,B,মাইট্রাল কপাটিকা বা বাইকাসপিড কপাটিকা বাম অলিন্দ ও বাম নিলয়ের সংযোগস্থলে অবস্থিত। এটি রক্ত প্রবাহের জন্য একটি গুরুত্বপূর্ণ কপাটিকা।
506,MAT 2009-2010,নিম্নের কোন শ্বেতকণিকার নিউক্লিয়াসটি দুই লোব বিশিষ্ট?,নিউট্রোফিল,ইউসিনোফিল,মনোসাইট,লিম্ফোসাইট,B,ইউসিনোফিল শ্বেত রক্তকণিকার নিউক্লিয়াসটি দুই লোব বিশিষ্ট। সাইটোপ্লাজমে বড় দানা থাকে এবং এটি সাধারণত অ্যালার্জি বা প্রদাহের প্রতিক্রিয়ায় সহায়তা করে।
507,MAT 2009-2010,নিলয়ের ডায়াস্টলের সময় নিম্নের কত সেকেন্ড?,0.1,0.3,0.5,0.7,C,"নিলয়ের ডায়াস্টল হল সেই সময়কাল, যখন হৃদপিণ্ডের নিলয় রক্তের জন্য প্রসারিত হয়। এই সময়কাল সাধারণত 0.5 সেকেন্ড হয়।"
508,MAT 2009-2010,নিম্নের কোনটি সঠিক নয়?,"কার্ডিয়াক চক্রের সময়কাল, হৃদপিন্ডের স্পন্দনের সমাণুপাতিক",কৈশিকজালক থেকে শিরার উৎপত্তি,লসিকা দেহের কিছু কিছু স্থানে রক্তের পরিবর্তে হিসাবে কাজ করে,শিরায় রক্তচাপ কম থাকে,C,"লসিকা কখনও রক্তের পরিবর্তে কাজ করে না। এটি কোষীয় তরল, যা টিস্যু থেকে অতিরিক্ত তরল এবং বর্জ্য পদার্থ নিয়ে শরীরের লসিক সিস্টেমে প্রবাহিত হয়।"
509,MAT 2008-2009,নিম্নের কোন তথ্যটি সঠিক নয়?,হৃদপিন্ডের বাম অলিন্দ থেকে পালমোনারী ধমনী উৎপন্ন হয়,পালমোনারী ধমনীর প্রবেশ মুখে একটা অর্ধচন্দ্রাকৃতি কপাটিকা থাকে,পালমোনারী শিরা ফুসফুস থেকে অক্সিজেনযুক্ত রক্ত নিয়ে হৃদপিন্ডে ফিরে আসে,মানুষের রক্তসংবহতন্ত্রে দ্বিচক্রীয় সংবহন দেখা যায়,A,"পালমোনারী ধমনী ডান নিলয় থেকে বের হয়, বাম অলিন্দ থেকে নয়। এটি রক্তকে ফুসফুসের দিকে পাঠায়, যেখানে রক্ত অক্সিজেন গ্রহণ করে।"
510,MAT 2008-2009,সিস্টোলিক এবং ডায়াস্টলিক প্রেসারের পার্থক্যকে বলা হয়-,পালস্ প্রেসার,মিল প্রেসার,বেসাল প্রেসার,পরিস্রাবণ প্রেসার,A,পালস প্রেসার হল সিস্টোলিক চাপ (যখন হৃদপিণ্ড সংকুচিত হয়) এবং ডায়াস্টোলিক চাপ (যখন হৃদপিণ্ড প্রসারিত হয়) এর মধ্যে পার্থক্য। এটি সাধারণত 40 মিমি পারদ হয়।
511,DAT 2009-2010,নিম্নের কোনটি হৃৎপিন্ডের সংবহন তন্ত্রের অংশ নহে?,পেস মেকার,মায়োকার্ডিয়াম,বান্ডেল অব হিজ,পারকিনজি তন্তু,B,"হৃৎপিন্ডের সংবহনতন্ত্রের অংশ হচ্ছে SAN, AVN, বান্ডেল অব হিজ, পারকিঞ্জি তন্তু। মায়োকার্ডিয়াম হৃৎপিন্ডের পেশীস্তর, যা সংবহনতন্ত্রের অংশ নয়।হৃৎপিন্ডের বিশেষ সংযোগী টিস্যুগুলোর মাধ্যমে বৈদ্যুতিক তরঙ্গ প্রবাহের অনুক্রমটি নিম্নরূপ:

SA node → AV node → বান্ডেল অব হিজ → পারকিঞ্জি তন্তু।"
512,DAT 2008-2009,নিম্ন প্রদত্ত কোন ধমনিটির উৎপত্তি এ্যাওর্টার বাঁক থেকে হয় না?,বাম সাধারণ ক্যারোটিকড,ইনোমিনেট,বামস বিক্রেভিয়ান,ডান সাধারণ ক্যারোটিড,D,"ডান সাধারণ ক্যারোটিডের উৎপত্তি ইনোমিনেট অ্যার্টারি থেকে হয়, যা এ্যাওর্টার বাঁক থেকে উৎপন্ন হয় না। ডান সাধারণ ক্যারোটিড এবং ডান সাবক্লেভিয়ান এর উৎপত্তি ইনোমিনেট যা ব্রাকিওসেফালিক অ্যার্টারি থেকে।
Aortic Arch এর শাখা:
Brachiocephalic trunk/Innominate artery
Left common carotid artery
Left subclavian artery"
513,DAT 2009-2010,নিম্নের কোনটি হৃদপিণ্ডকে বিভিন্ন প্রকোষ্ঠে বিভক্ত করে?,এপিকার্ডিয়াম,পেরিকার্ডিয়াম,এন্ডোকার্ডিয়াম,মায়োকার্ডিয়াম,B,পেরিকার্ডিয়াম হৃৎপিণ্ডের চারদিকে একটি পাতলা দ্বিস্তরী আবরণী হিসেবে থাকে যা হৃদপিণ্ডকে বিভিন্ন প্রকোষ্ঠে বিভক্ত করে। পেরিকার্ডিয়াম: হৃৎপিণ্ডের চারদিকে একটা পাতলা দ্বিস্তরী আবরণী হিসেবে থাকে।
514,MAT 2008-2009,সিলিয়াক ধমনী নিম্নের কোন অঙ্গে রক্ত সরবরাহ করে না?,পাকস্থলী,বৃক্ক,প্লীহা,যকৃত,B,"সিলিয়াক ধমনী পাকস্থলী, প্লীহা, এবং যকৃতকে রক্ত সরবরাহ করে, তবে বৃক্কে রক্ত সরবরাহ করে না। সিলিয়াক ধমনী ৩টি প্রধান শাখায় বিভক্ত:
বাম গ্যাস্ট্রিক ধমনী - এটা পাকস্থলীতে যায়।
স্পেনিক ধমনী - এটা প্লীহায় রক্ত সরবরাহ করে।
হিপাটিক ধমনী - এরা যকৃতে রক্ত পরিবহন করে।"
515,MAT 2005-2006,শিরার জন্য কোন তথ্যটি সঠিক নয়?,লুমেন বড়,সাধারণত কার্বনডাই অক্সাইড সমৃদ্ধ রক্ত দেহের বিভিন্ন অংশ থেকে হৃদপিন্ডে বহন করে নিয়ে আসে,শিরাপ্রাচীর তিন স্তরে গঠিত,প্রাচীর স্থিতিস্থাপক,D,শিরার প্রাচীর স্থিতিস্থাপক হয় না; শিরার প্রাচীর পাতলা ও অস্থিতিস্থাপক হয়।
516,DAT 2008-2009,মানব শিরাতন্ত্রে নিম্নের কোনটি অনুপস্থিত?,পোর্টাল,করোনারি,পালমোনারি,সিস্টেমিক,A,"পোর্টাল শিরা মানুষের শিরাতন্ত্রে অনুপস্থিত, এটি কিছু অন্যান্য স্তন্যপায়ী প্রাণীতে রয়েছে।"
517,DAT 2002-2003,ধমনীর ক্ষেত্রে নীচের কোনটির প্রযোজ্য?,উৎসস্থল কৈশিক জালিকা,সমাপ্তিস্থল হৃদপিন্ড,কপাটিকা আছে,রক্ত সাধারণত হৃৎপিন্ড থেকে দেহের বিভিন্ন অংশে পরিবাহিত হয়,D,ধমনীর রক্ত সাধারণত হৃৎপিন্ড থেকে দেহের বিভিন্ন অংশে পরিবাহিত হয়।
